"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2060","NTB081560=","BVMF","3.697,666","-","-","--","--","3.697,666","3.710,366","3.697,666","3.697,666","-7,046","-0,19%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda Forte","Venda Forte","-0,19%","0,00%","0,00%","1,42%","-12,85%","-10,27%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2055","NTB051555=STNC","BVMF","3.735,630","-","-","--","--","3.735,630","4.054,480","3.735,630","3.735,630","+15,860","+0,43%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda","Venda Forte","Venda Forte","0,43%","0,00%","0,00%","0,15%","-8,16%","-9,18%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2050","NTB081550=STNC","BVMF","3.693,450","-","-","--","--","3.693,450","4.375,380","3.693,450","3.693,450","+31,850","+0,87%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda Forte","Venda Forte","0,87%","0,00%","0,00%","-3,46%","-8,23%","-8,81%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2045","NTB051545=STNC","BVMF","3.790,630","-","-","--","--","3.790,630","4.292,687","3.790,630","3.790,630","+22,020","+0,58%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda Forte","Venda Forte","0,58%","0,00%","0,00%","-1,28%","-8,27%","-7,65%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2040","NTB081540=STNC","BVMF","3.816,630","-","-","--","--","3.816,630","4.376,900","3.816,630","3.816,630","+16,700","+0,44%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda Forte","Venda Forte","0,44%","0,00%","0,00%","-4,69%","-7,44%","-6,49%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2035","NTB051535=STNC","BVMF","4.078,040","-","-","--","--","4.078,040","3.974,570","4.078,040","4.078,040","+84,020","+2,10%","-","--","01/04","-","","-","-","-","-","-","-","","","","","","Compra Forte","Neutro","Venda","2,10%","0,00%","0,00%","2,81%","0,28%","3,77%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2033","NTB051533=","BVMF","4.109,583","-","-","--","--","4.109,583","4.110,801","4.109,583","4.109,583","+13,218","+0,32%","-","--","27/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda Forte","Venda Forte","0,32%","0,00%","0,00%","4,82%","-3,35%","-"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2032","BRNB10YT=RR","BVMF","4.006,428","-","-","--","--","4.003,252","3.995,706","4.013,603","3.999,271","+10,722","+0,27%","-","--","12/02","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda Forte","Venda Forte","0,27%","0,45%","0,05%","2,19%","-8,71%","2,02%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2030","NTB081530=STNC","BVMF","4.110,540","-","-","--","--","4.110,540","4.352,432","4.110,540","4.110,540","+19,030","+0,47%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda Forte","Venda Forte","0,47%","0,00%","0,00%","-1,54%","-2,81%","1,28%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2028","NTB081528=","BVMF","4.231,540","-","-","--","--","4.231,540","4.227,827","4.231,540","4.231,540","+3,713","+0,09%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda","Neutro","0,09%","0,00%","0,00%","1,89%","-2,04%","2,77%"
